name;address;comune;open_hours;phone_number;website
Hockey Club Val Rendena Associazione Sportiv;Via allo Stadio, 21;Pinzolo;"""""";0465500068 0465503654;
Centro sportivo Tione;Localit Sesena, 5;Tione di Trento;"""""";0465321023;
Tennis Club Associazione Sportiva Dilettantistica;Frazione Santa Croce;Bleggio Superiore;"""""";3342925960;
Noleggio 5 Laghi;Via Presanella, 10;Pinzolo;"""tuesday: 08:30 - 19:00, wednesday: 08:30 - 19:00, thursday: 08:30 - 19:00, friday: 08:30 - 19:00, saturday: 08:30 - 19:00""";0465443199;
Scuola Italiana Snowboard Zebra;Piazza Righi, 5;Pinzolo;"""sunday: 08:00 - 12:30 / 15:00 - 20:00, monday: 08:00 - 12:30 / 15:00 - 20:00, tuesday: 08:00 - 12:30 / 15:00 - 20:00, wednesday: 08:00 - 12:30 / 15:00 - 20:00, thursday: 08:00 - 12:30 / 15:00 - 20:00, friday: 08:00 - 12:30 / 15:00 - 20:00, saturday: 08:00 - 12:30 / 15:00 - 20:00""";0465442080;
Scuola Italiana Sci 5 Laghi;Via Presanella, 10;Pinzolo;"""""";0465440355 0465441650 0465443181;
Garda Sporting Club Hotel;Via Antonio Abondio, 7;Riva del Garda;"""""";0464552072;
Altogarda Golf;Localit San Tomaso;Riva del Garda;"""sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00""";0365643006;
Amici Nuoto Riva;Viale Rovereto, 45;Riva del Garda;"""""";3490586660 0464311398 0464520078 3397376737;
Associazione Equestre Cavalcailvento;Localit Salin;Cavedine;"""""";3493856899 0461568267;
Boulder City Asd;Viale Daino, 74/C;Dro;"""""";0464507354;
Circolo Tennis Arco;Via Pomerio, 11;Arco;"""sunday: 09:00 - 19:00, tuesday: 09:00 - 22:30, wednesday: 09:00 - 22:30, thursday: 09:00 - 22:30, friday: 09:00 - 22:30, saturday: 09:00 - 22:30""";0464516824;
