name;address;comune;open_hours;phone_number;website
Arcieri di Fiemme;Localit Roda;Ziano di Fiemme;"""""";3478579908;
Campo di pattinaggio;Via Lago;Tesero;"""""";0462814064 0462812358;
Circolo Tennis Cavalese Asd;Localit Parco della Pieve, 1;Cavalese;"""sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00""";0462340003;
El Zerilo Ranch;Localit Stava;Tesero;"""""";3343535108 0462814649;
Ippico Fontanelle;Via Lagorai, 117;Predazzo;"""""";3357057094;
Palaghiaccio di Cavalese;Via Cermis;Cavalese;"""""";0462231252 0462230407;
Piscina Cavalese;Via Fratelli Bronzetti, 60;Cavalese;"""sunday: 09:00 - 21:00 / 09:30 - 20:00, monday: 09:00 - 21:00 / 09:30 - 20:00, tuesday: 09:00 - 21:00 / 09:30 - 20:00, wednesday: 09:00 - 21:00 / 09:30 - 20:00, thursday: 09:00 - 21:00 / 09:30 - 20:00, friday: 09:00 - 21:00 / 09:30 - 20:00, saturday: 09:00 - 21:00 / 09:30 - 20:00""";0462230407;
Piscina Comunale Cavalese;Via Rossini, 3;Cavalese;"""sunday: 10:00 - 20:00, monday: 10:00 - 20:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00""";0462341810;
Progetto Lavaze' S.r.l.;Passo di Lavaze';Ville di Fiemme;"""""";0462230447;
Societa' per L'Amministrazione e La Gestione di Impianti Sportivi - S.A.G.I.S. S.r.l.;Localita' Lagorai, 3;Cavalese;"""""";0462341810;
Weisshorn S.p.a. % Weisshorn A.G.;Via Obereggen - Eggen, 31;Nova Ponente;"""""";0471615627 0471615122 0471615511;
Impianti Falcade Col Margherita;Piazzale Molino, 3;Falcade;"""""";0437507044;
Asd Gioca Sport;Via Fossi, 12;Primiero San Martino di Castrozza;"""""";3487465813 043964707;
Asv Tiers;Via Georg Strasse, 25;Tires;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59""";3491404634;
A.S.V. Tramin - Sektion Tennis;Via Weinstrasse, 154;Termeno sulla Strada del Vino;"""""";0471860812;
Asv Welschnofen - Sektion Tennis Raiffeisen;Via Dolomitenstrasse, 26/A;Nova Levante;"""""";0471613273;
Campo Da Calcio Regolamentare Mezzano;Via del Pian, 37;Mezzano;"""sunday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00""";0439678068 043962407;
Campo ghiaccio naturale;Via Laghetto, 40;Primiero San Martino di Castrozza;"""""";0439769312;
Centro Equitazione Alpina Spiado;Localit Quarazza, 1;Pieve Tesino;"""""";0461594572;
Comune di Moena;Piazza De Navalge;Moena;"""""";0462574013;
Golf Club Petersberg;Via Unterwinkel, 5;Nova Ponente;"""""";0471615122;
Golf Club Tesino;Localit Coldan, 11;Pieve Tesino;"""sunday: 09:00 - 18:00, monday: 09:00 - 18:00, tuesday: 09:00 - 18:00, wednesday: 09:00 - 18:00, thursday: 09:00 - 18:00, friday: 09:00 - 18:00, saturday: 09:00 - 18:00""";3505332726;
Golfclub Carezza;Via Carezza, 171;Nova Levante;"""""";3664648302 04711888167;
Hotel Markushof S.a.s. di Graiff Markus & C.;Via Truidn, 1;Ora;"""""";0471802872 0471810025 0471814243 047181243 0471810272;
Impianti Falcade Col Margherita S.p.a.;Localita' Pian della Sussistenza, 1;Falcade;"""""";0437599585;
Leichtathletik Ssv - Leifers;Via Pietralba, 64;Laives;"""""";0471952434;
Palaghiaccio;Via Rio Nero, 7;Ora;"""""";0471802022;
Piscina Comunale;Via Rio Nero, 1;Ora;"""""";3492637459 3490058257;
Polisportiva Pineta;Via Aldo Moro, 9;Laives;"""sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00""";0471951633;
SEIK G.M.B.H. - S.R.L.;Zona San Lugano, 6;Trodena nel Parco Naturale;"""""";0471887087 0471887040;
SEIK G.M.B.H. - S.R.L.;Zona Artigianale, 26;Trodena nel Parco Naturale;"""""";0471887087;
Sport e Tempo Libero Societa' Sportiva Dilettantistica S.r.l.;Via dello Sport, 6;Primiero San Martino di Castrozza;"""""";043962885;
Sportarena Unterland;Via Brenner, 7;Egna;"""""";0471820900 0471813614 0471813613;
Sportarena Unterland;Via Brennero, 7;Egna;"""""";0471813625 0471820900 0471813613 0471823224 0471813614 3382285799;
Sportcenter;Via del Campo Sportivo, 16;Aldino;"""""";0471886072;
Technoalpin S.p.a.;Via Vurza, 5;Laives;"""""";0471254236;
Tennis Academy Service A.S.D.;Via Nazionale, 23;Bronzolo;"""sunday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00""";3283786609;
Tennis Club Bronzolo Branzoll Sportiva Dilettantistica;Via Aldino, 23;Bronzolo;"""""";3474479818 0471967351 3317351051;
