name,address,comune,open_hours,phone_number,website
Circolo Tennis Ledro,"Localit Besta, 1",Ledro,"monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00, sunday: 08:00 - 20:00",3805235139,
kite centergarda lake,"Via Valle dell'Acqua, snc",Malcesine,,3454795705,
Garda Sporting Club Hotel,"Via Antonio Abondio, 7",Riva del Garda,,0464552072,
Hockey Club Val Rendena Associazione Sportiv,"Via allo Stadio, 21",Pinzolo,,"0465500068, 0465503654",
Altogarda Golf,Localit San Tomaso,Riva del Garda,"monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00, sunday: 08:00 - 20:00",0365643006,
Amici Nuoto Riva,"Viale Rovereto, 45",Riva del Garda,,"3490586660, 0464311398, 0464520078, 3397376737",
A.S.D. Tennis Darzo,"Via Capitello, 5",Storo,"monday: 09:00 - 11:59 / 12:00 - 23:00, tuesday: 09:00 - 11:59 / 12:00 - 23:00, wednesday: 09:00 - 11:59 / 12:00 - 23:00, thursday: 09:00 - 11:59 / 12:00 - 23:00, friday: 09:00 - 11:59 / 12:00 - 23:00, saturday: 09:00 - 11:59 / 12:00 - 23:00, sunday: 09:00 - 11:59 / 12:00 - 23:00",0465299257,
Associazione Equestre Cavalcailvento,Localit Salin,Cavedine,,"3493856899, 0461568267",
Boulder City Asd,"Viale Daino, 74/C",Dro,,0464507354,
Campo da Calcio,Via Fasse,Limone sul Garda,"monday: 07:00 - 20:00, tuesday: 07:00 - 20:00, wednesday: 07:00 - 20:00, thursday: 07:00 - 20:00, friday: 07:00 - 20:00, saturday: 07:00 - 20:00, sunday: 07:00 - 20:00",0365954008,
Centro sportivo Tione,"Localit Sesena, 5",Tione di Trento,,0465321023,
Circolo Tennis Arco,"Via Pomerio, 11",Arco,"tuesday: 09:00 - 22:30, wednesday: 09:00 - 22:30, thursday: 09:00 - 22:30, friday: 09:00 - 22:30, saturday: 09:00 - 22:30, sunday: 09:00 - 19:00",0464516824,
Circolo Tennis Torbole,"Strada Granda, 67",Nago-Torbole,"monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00, sunday: 08:00 - 23:00",3925442873,
Club Ippico San Giorgio,Localit San Giorgio Arco,Arco,"monday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00, sunday: 09:00 - 12:00 / 14:00 - 19:00",3484438307,
Comune Di Paspardo,Localit Canneto,Paspardo,"tuesday: 08:00 - 12:00 / 14:00 - 18:00, wednesday: 08:00 - 12:00 / 14:00 - 18:00, thursday: 08:00 - 12:00 / 14:00 - 18:00, friday: 08:00 - 12:00 / 14:00 - 18:00, saturday: 08:00 - 12:00 / 14:00 - 18:00, sunday: 08:00 - 12:00 / 14:00 - 18:00",036448025,
Comune di Riva del Garda,"Piazza Contini Maria, 5",Riva del Garda,,0464520078,
Hotel Maroni,"Via Casarino, 1",Ledro,"monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00, sunday: 09:00 - 19:00",0464508198,
Maneggio H-Cadr,"Via Piave, 84",Ledro,,0464508292,
Oratorio Bagolino,"Via Parrocchia, 14",Bagolino,"monday: 14:00 - 22:00, tuesday: 18:00 - 22:00, wednesday: 18:00 - 22:00, thursday: 18:00 - 22:00, friday: 18:00 - 22:00, saturday: 18:00 - 22:00, sunday: 18:00 - 22:00","036599108, 3394164273",
Palagarda,"Via San Tommaso, 69",Riva del Garda,,"0464555772, 0464554551",
Parrocchia Paspardo,"Via San Gaudenzio, 14",Paspardo,"monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59, sunday: 00:00 - 23:59",036448018,
Piscina Acquambiez,Localit Promeghin,San Lorenzo Dorsino,"monday: 09:00 - 13:00 / 15:00 - 21:00, tuesday: 09:00 - 13:00 / 15:00 - 21:00, wednesday: 09:00 - 13:00 / 15:00 - 21:00, thursday: 09:00 - 13:00 / 15:00 - 21:00, friday: 09:00 - 13:00 / 15:00 - 21:00, saturday: 09:00 - 13:00 / 15:00 - 21:00, sunday: 09:00 - 13:00 / 15:00 - 21:00",0465730082,
Piscina Comunale Arco,"Via Legionari Cecoslovacchi, 14",Arco,,"0464517000, 0464516830",
Piscina Comunale Enrico Meroni,"Piazza Contini Maria, 5",Riva del Garda,,0464520078,
Riva S.a.s. di Schneider Wilma e C.,"Viale Tigli, 40",Riva del Garda,,"3292146937, 0464552072",
Salone Dolores di Beltrami Dolores per Lei e per Lui,"Via Vittorio Veneto, 4",Pinzolo,,"347459619, 337459619",
Tennis Club Associazione Sportiva Dilettantistica,Frazione Santa Croce,Bleggio Superiore,,3342925960,
Tennisclinic,"Via Belluno, 4",Riva del Garda,,3270808849,
Atletica Alto Garda E Ledro,"Via Pomerio, 9",Arco,"tuesday: 07:00 - 23:59, wednesday: 07:00 - 23:59, thursday: 07:00 - 23:59, friday: 07:00 - 23:59, saturday: 07:00 - 23:59",0464510346,
Funivie Pinzolo Spa,"Via Bolognini, 84",Pinzolo,"sunday: 08:00 - 12:00 / 14:00 - 17:30, monday: 08:00 - 12:00 / 14:00 - 17:30, tuesday: 08:00 - 12:00 / 14:00 - 17:30, wednesday: 08:00 - 12:00 / 14:00 - 17:30, thursday: 08:00 - 12:00 / 14:00 - 17:30, friday: 08:00 - 12:00 / 14:00 - 17:30, saturday: 08:00 - 12:00 / 14:00 - 17:30",0465501256,
