name;address;comune;open_hours;phone_number;website
Campo di pattinaggio;Via Lago;Tesero;;0462812358 0462814064;
El Zerilo Ranch;Localit Stava;Tesero;;0462814649 3343535108;
Arcieri di Fiemme;Localit Roda;Ziano di Fiemme;;3478579908;
Circolo Tennis Cavalese Asd;Localit Parco della Pieve, 1;Cavalese;sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00;0462340003;
Ippico Fontanelle;Via Lagorai, 117;Predazzo;;3357057094;
Palaghiaccio di Cavalese;Via Cermis;Cavalese;;0462230407 0462231252;
Piscina Cavalese;Via Fratelli Bronzetti, 60;Cavalese;sunday: 09:00 - 21:00 / 09:30 - 20:00, monday: 09:00 - 21:00 / 09:30 - 20:00, tuesday: 09:00 - 21:00 / 09:30 - 20:00, wednesday: 09:00 - 21:00 / 09:30 - 20:00, thursday: 09:00 - 21:00 / 09:30 - 20:00, friday: 09:00 - 21:00 / 09:30 - 20:00, saturday: 09:00 - 21:00 / 09:30 - 20:00;0462230407;
Piscina Comunale Cavalese;Via Rossini, 3;Cavalese;sunday: 10:00 - 20:00, monday: 10:00 - 20:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00;0462341810;
Progetto Lavaze' S.r.l.;Passo di Lavaze';Ville di Fiemme;;0462230447;
SEIK G.M.B.H. - S.R.L.;Zona San Lugano, 6;Trodena nel Parco Naturale;;0471887087 0471887040;
SEIK G.M.B.H. - S.R.L.;Zona Artigianale, 26;Trodena nel Parco Naturale;;0471887087;
Societa' per L'Amministrazione e La Gestione di Impianti Sportivi - S.A.G.I.S. S.r.l.;Localita' Lagorai, 3;Cavalese;;0462341810;
Weisshorn S.p.a. % Weisshorn A.G.;Via Obereggen - Eggen, 31;Nova Ponente;;0471615511 0471615627 0471615122;
Fiera Bolzano S.p.a.;Piazza Fiera, 1;Bolzano;;3346954229 0471516000;
Paintball Sdtirol;Via Maso della Pieve, 5;Bolzano;;3336889299 3488843134 3461028816;
Ristorante Forst Fiera;Messeplatz 1 Bozen;Bolzano;;0471932292;
Asv Tiers;Via Georg Strasse, 25;Tires;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;3491404634;
A.S.V. Tramin - Sektion Tennis;Via Weinstrasse, 154;Termeno sulla Strada del Vino;;0471860812;
Asv Welschnofen - Sektion Tennis Raiffeisen;Via Dolomitenstrasse, 26/A;Nova Levante;;0471613273;
Bolzano Nuoto;Via Maso della Pieve, 11;Bolzano;;0471250171;
Campo ghiaccio naturale;Via Laghetto, 40;Primiero San Martino di Castrozza;;0439769312;
Campo Sportivo Pfarrhof - Maso della Pieve;Via Maso della Pieve, 11;Bolzano;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;0471251926 335252614;
Circolo Tennis Cassa di Risparmio;Via San Giacomo, 158;Laives;sunday: 09:00 - 23:00, monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00;0471251565;
Comune di Caldaro sulla Strada del Vino;Via Castelvecchio, 45;Caldaro sulla Strada del Vino;;0471961114;
Comune di Moena;Piazza De Navalge;Moena;;0462574013;
Frasnelli Kart S.r.l.;Ischia Frizzi, 3/A;Vadena;;3356069288;
Golf Club Petersberg;Via Unterwinkel, 5;Nova Ponente;;0471615122;
Golfclub Carezza;Via Carezza, 171;Nova Levante;;04711888167 3664648302;
Hotel Markushof S.a.s. di Graiff Markus & C.;Via Truidn, 1;Ora;;0471814243 047181243 0471802872 0471810272 0471810025;
