name;address;comune;open_hours;phone_number;website
Maneggio Ranch Roen;Via Roen;Amblar-Don;"""sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00""";0463830077 3395026924;
Dolomiti Golf Club;Localita' Centro Sportivo Verde, 1;Sarnonico;"""sunday: 08:30 - 19:30, monday: 08:30 - 19:30, tuesday: 08:30 - 19:30, wednesday: 08:30 - 19:30, thursday: 08:30 - 19:30, friday: 08:30 - 19:30, saturday: 08:30 - 19:30""";0463832698;
Asd Sarnonico;Viale San Lorenzo, 4;Sarnonico;"""tuesday: 17:00 - 21:30, wednesday: 17:00 - 21:30, thursday: 17:00 - 21:30, friday: 17:00 - 21:30, saturday: 17:00 - 21:30""";3480938543;
A.S.V. Tramin - Sektion Tennis;Via Weinstrasse, 154;Termeno sulla Strada del Vino;"""""";0471860812;
Centro per lo sport e del tempo libero;Viale Degasperi, 163;Cles;"""""";0463454023;
Comune di Caldaro sulla Strada del Vino;Via Castelvecchio, 45;Caldaro sulla Strada del Vino;"""""";0471961114;
Golf Club Carezza Freudenstein;Strada Masaccio, 3;Appiano sulla Strada del Vino;"""""";3393271291;
Kusch S.n.c. Junior di dalla Tina Maurizio & C.;Via IV Novembre, 83;Predaia;"""""";0463536185 0463538361;
Palasmeraldo Fondo;Via Lago Smeraldo;Borgo d'Anaunia;"""sunday: 09:00 - 12:30, tuesday: 09:00 - 12:30, wednesday: 09:00 - 12:30, thursday: 09:00 - 12:30, friday: 09:00 - 12:30, saturday: 09:00 - 12:30""";0463850000;
Pista da Pattinaggio sul Ghiaccio;Localit Dossi;Predaia;"""""";0463536085 3385037536;
Tennis Centro Val di Non Associazione Sportiva Dilettantistica;Via Quattro Ville, 3;Ville d'Anaunia;"""sunday: 09:00 - 12:00, tuesday: 09:00 - 12:00, wednesday: 09:00 - 12:00, thursday: 09:00 - 12:00, friday: 09:00 - 12:00, saturday: 09:00 - 12:00""";3388986749;
Tennis Sparer;Via Monticolo, 80;Appiano sulla Strada del Vino;"""sunday: 09:00 - 22:00, monday: 09:00 - 18:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00""";3387629002 0471664657;
Scuolatennis.it - Bolzano;Via Parma, 8;Bolzano;"""sunday: 07:00 - 21:00, monday: 07:00 - 21:00, tuesday: 07:00 - 23:00, wednesday: 07:00 - 23:00, thursday: 07:00 - 23:00, friday: 07:00 - 23:00, saturday: 07:00 - 23:00""";3926048829;
Zeus Charging Station - Dolomeet;21 C/O Innovation Center,, LOC. ZONA INDUSTRIALE;Mal;"""tuesday: 08:00 - 18:00, wednesday: 08:00 - 18:00, thursday: 08:00 - 18:00, friday: 08:00 - 18:00, saturday: 08:00 - 18:00""";0463901272 3384093792;
Trentino Wild;Via Gole, 412;Dimaro Folgarida;"""sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00""";3402175873 0463973278;
Ellequaranta di Alberto Avena;Via Amedeo Avogadro, snc;Bolzano;"""""";0471203037;
Energym;Via Resia, 84;Bolzano;"""sunday: 09:30 - 12:30 / 14:00 - 18:00, tuesday: 08:30 - 21:30, wednesday: 10:00 - 21:30, thursday: 08:30 - 21:30, friday: 10:00 - 21:30, saturday: 08:30 - 21:30""";0471914230;
Fiera Bolzano S.p.a.;Piazza Fiera, 1;Bolzano;"""""";3346954229 0471516000;
Paintball Sdtirol;Via Maso della Pieve, 5;Bolzano;"""""";3461028816 3488843134 3336889299;
Ristorante Forst Fiera;Messeplatz 1 Bozen;Bolzano;"""""";0471932292;
Aikikai - Aikido;Via Cadorna Luigi, 6;Bolzano;"""""";3687030347 0471347287;
Alpintec S.r.l.;Via Brescia, 49/2;San Pancrazio;"""""";0473787090 0473787100;
Alpintec S.r.l.;Zona Artigianale, 156;San Pancrazio;"""""";0473787000 0473787090 0473787100;
Appiano;Via Cappuccini, 23;Appiano sulla Strada del Vino;"""tuesday: 09:00 - 12:00 / 14:00 - 17:00, wednesday: 09:00 - 12:00 / 14:00 - 17:00, thursday: 09:00 - 12:00 / 14:00 - 17:00, friday: 09:00 - 12:00 / 14:00 - 17:00, saturday: 09:00 - 12:00 / 14:00 - 17:00""";0471661165;
Asv Gargazon/Raika Sektion Tennis;Via Stazione, 35;Gargazzone;"""""";3494696282;
Black Ice S.n.c. di Bettin Yuri & C.;Via al Dos Ciastel, 4;Fai della Paganella;"""""";3292599675;
Body Fitness;Via della Visitazione, 38;Bolzano;"""sunday: 09:30 - 13:00 / 15:00 - 17:00, tuesday: 09:30 - 21:30, wednesday: 09:30 - 21:30, thursday: 09:30 - 21:30, friday: 09:30 - 21:30, saturday: 09:30 - 21:30""";0471200511;
Bolzano Nuoto;Via Maso della Pieve, 11;Bolzano;"""""";0471250171;
Campo sportivo comunale di Mal;Localit Molini;Mal;"""""";;
Campo Sportivo Coni;Via Santa Geltrude, 1;Bolzano;"""""";0471283404;
Campo Sportivo Coni;Via Santa Geltrude, 54/56;Bolzano;"""tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00""";0471283404;
Campo sportivo di Mezzocorona;Via San Giovanni Bosco;Mezzocorona;"""""";;
Campo Sportivo Internorm Arena Rigi;Via Luigi Cadorna, 25;Bolzano;"""wednesday: 16:00 - 20:00, thursday: 16:00 - 20:00, friday: 16:00 - 20:00""";0471270696;
Campo Sportivo Pfarrhof - Maso della Pieve;Via Maso della Pieve, 11;Bolzano;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59""";0471251926 335252614;
Carli Sport S.r.l.;Via Cane', 7;Mezzocorona;"""""";0461605049;
Centro Civico Don Bosco;Piazza Don Bosco, 17;Bolzano;"""sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00""";0471997050;
Centro Equestre Happy Ranch;Localit Lago Santo;Cembra Lisignago;"""sunday: 11:00 - 03:00, monday: 11:00 - 23:59, saturday: 18:00 - 03:00""";0461683518;
Circolo Tennis;Viale Druso, 20;Bolzano;"""sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00""";0471449915 3312700579;
Circolo Tennis Bauzanum '77;Via del Macello, 32;Bolzano;"""sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00""";0471976402;
Circolo Tennis Cassa di Risparmio;Via San Giacomo, 158;Laives;"""sunday: 09:00 - 23:00, monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00""";0471251565;
Ellequaranta di Alberto Avena;Via Orazio, 4/H;Bolzano;"""""";0471270120 0471203037;
Flying Park;Via De Gasperi, 8;Mal;"""""";3924860806 0463903033;
Frasnelli Kart S.r.l.;Ischia Frizzi, 3/A;Vadena;"""""";3356069288;
Ganthaler C. & C. S.a.s.;Via Merano Vilpiano, 50;Terlano;"""""";0471678716;
Golf & Country Sdtirol;Strada Riva di Sotto, 74;Appiano sulla Strada del Vino;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59""";04711888164 3364648302;
Golf Club Carezza Freudenstein;Strada Sasso Croce, 6;Appiano sulla Strada del Vino;"""""";0471660332 3393271291;
