name;address;comune;open_hours;phone_number;website
Hockey Club Val Rendena Associazione Sportiv;Via allo Stadio, 21;Pinzolo;;0465500068 0465503654;
Centro sportivo Tione;Localit Sesena, 5;Tione di Trento;;0465321023;
Salone Dolores di Beltrami Dolores per Lei e per Lui;Via Vittorio Veneto, 4;Pinzolo;;347459619 337459619;
Funivie Pinzolo Spa;Via Bolognini, 84;Pinzolo;sunday: 08:00 - 12:00 / 14:00 - 17:30, monday: 08:00 - 12:00 / 14:00 - 17:30, tuesday: 08:00 - 12:00 / 14:00 - 17:30, wednesday: 08:00 - 12:00 / 14:00 - 17:30, thursday: 08:00 - 12:00 / 14:00 - 17:30, friday: 08:00 - 12:00 / 14:00 - 17:30, saturday: 08:00 - 12:00 / 14:00 - 17:30;0465501256;
Noleggio 5 Laghi;Via Presanella, 10;Pinzolo;tuesday: 08:30 - 19:00, wednesday: 08:30 - 19:00, thursday: 08:30 - 19:00, friday: 08:30 - 19:00, saturday: 08:30 - 19:00;0465443199;
Scuola Italiana Snowboard Zebra;Piazza Righi, 5;Pinzolo;sunday: 08:00 - 12:30 / 15:00 - 20:00, monday: 08:00 - 12:30 / 15:00 - 20:00, tuesday: 08:00 - 12:30 / 15:00 - 20:00, wednesday: 08:00 - 12:30 / 15:00 - 20:00, thursday: 08:00 - 12:30 / 15:00 - 20:00, friday: 08:00 - 12:30 / 15:00 - 20:00, saturday: 08:00 - 12:30 / 15:00 - 20:00;0465442080;
Scuola Italiana Sci 5 Laghi;Via Presanella, 10;Pinzolo;;0465443181 0465440355 0465441650;
Trentino Wild;Via Gole, 412;Dimaro Folgarida;sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00;3402175873 0463973278;
Centro Sportivo Andalo;Via del Parco, 1;Andalo;tuesday: 08:00 - 17:00, wednesday: 08:00 - 17:00, thursday: 08:00 - 17:00, friday: 08:00 - 17:00, saturday: 08:00 - 17:00;0461585776;
Associazione Equestre Cavalcailvento;Localit Salin;Cavedine;;3493856899 0461568267;
