name;address;comune;open_hours;phone_number;website
Campo Calcio Meano;Via Bellaria, 9;Trento;;0461959812;
Woody Valley S.r.l.;Localita' Spini;Trento;;0461950811;
Woody Valley S.r.l.;Via Vienna, 92;Trento;;360041005200;
Alessio Donzella Coach;Piazza Tridente, 9;Trento;sunday: 08:30 - 19:00, tuesday: 08:30 - 21:00, wednesday: 08:30 - 21:00, thursday: 08:30 - 21:00, friday: 08:30 - 21:00, saturday: 08:30 - 21:00;393497682763;
Circolo Tennis Trento;Via Venezia, 41/1;Trento;;3381313658;
Star Club;Via Unterveger Giambattista, 104;Trento;sunday: 05:00 - 20:00, monday: 05:00 - 20:00, tuesday: 05:00 - 23:00, wednesday: 05:00 - 23:00, thursday: 05:00 - 23:00, friday: 05:00 - 23:00, saturday: 05:00 - 23:00;0461821284;
Centro Sportivo Andalo;Via del Parco, 1;Andalo;tuesday: 08:00 - 17:00, wednesday: 08:00 - 17:00, thursday: 08:00 - 17:00, friday: 08:00 - 17:00, saturday: 08:00 - 17:00;0461585776;
Ac Trento 1921 S.r.l.;Via Roberto da Sanseverino, 41;Trento;;0461524993;
Aquila Basket Trento 2013 S.r.l.;Via Marighetto Ancilla, 28;Trento;;0461419794;
Aquila Basket Trento 2013 S.r.l.;Via Bolghera, 37;Trento;;0461528417;
Aquila Basket Trento 2013 S.r.l.;Via Zara, 14;Trento;;0461262253;
Aquila Basket Trento 2013 S.r.l.;Via Guardini Romano, 42;Trento;;0461439684;
Aquila Basket Trento 2013 S.r.l.;Via Fersina, 11;Trento;;0461935181;
Aquila Basket Trento 2013 S.r.l.;Viale della Costituzione, 5;Trento;;0461437435;
Aquila Basket Trento 2013 S.r.l.;Passaggio Clementel Ezio, 7;Trento;;0461437387;
Aquila Basket Trento 2013 S.r.l.;Viale Olivetti Adriano, 20;Trento;;0461527402 0461525310;
Aquila Basket Trento 2013 S.r.l.;Via Chini Eusebio, 59;Trento;;0461931035 0461916579;
Associazione Sportiva Sportivando;Via Brunner Giuseppe, 9;Trento;;0461091706;
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento;Via IV Novembre . Gardolo, 23;Trento;;0461959800;
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento;Via Menguzzato Veglia Clorinda, 6;Trento;;0461390785;
Black Ice S.n.c. di Bettin Yuri & C.;Via al Dos Ciastel, 4;Fai della Paganella;;3292599675;
Body Planet;Via Gentilotti Benedetto, 4;Trento;sunday: 10:00 - 16:00, tuesday: 08:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 08:00 - 22:00, friday: 10:00 - 22:00, saturday: 08:00 - 22:00;0461910096;
Campo Baseball;Via Fersina, 17;Trento;;0461959812;
Campo Baseball;Via Fersina, 2;Trento;thursday: 15:15 - 21:00, saturday: 15:15 - 21:00;0461959812;
Campo Calcio Argentario;Via Ponte Alto, 79;Trento;tuesday: 08:30 - 17:00, thursday: 08:30 - 17:00, friday: 08:30 - 17:00, saturday: 08:30 - 12:30;0461992990;
Campo Calcio;Via Lavisotto, 41;Trento;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;0461959812;
Campo Calcio Martignano;Via Talvera, 11;Trento;tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 17:00, saturday: 08:30 - 12:30;0461959812;
Campo Calcio Piedicastello;Via Santissimi Cosma e Damiano, 107;Trento;;0461959812;
